# DUMP format #2, bez=vkick           , number of particles=           2, dump period=           1, first turn=           1, last turn=          -1, HIGH=F, FRONT=F
# ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2       20     11.20000  8.289189031E-01  2.021259662E-01  1.073563723E+02 -1.478358245E+00 -3.140562771E-01  1.420241245E-04       21
        1       21     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630765E-01  1.420241245E-04       21
        2       21     11.20000  8.292600458E-01  2.021350183E-01  1.073563723E+02 -1.478358245E+00 -3.140561672E-01  1.420241245E-04       21
        1       22     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630764E-01  1.420241245E-04       21
        2       22     11.20000  8.289479852E-01  2.020947963E-01  1.073563723E+02 -1.478358245E+00 -3.140561873E-01  1.420241245E-04       21
        1       23     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630764E-01  1.420241245E-04       21
        2       23     11.20000  8.289630462E-01  2.021316559E-01  1.073563723E+02 -1.478358245E+00 -3.140552123E-01  1.420241245E-04       21
        1       24     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630764E-01  1.420241245E-04       21
        2       24     11.20000  8.292579153E-01  2.021298043E-01  1.073563723E+02 -1.478358245E+00 -3.140552431E-01  1.420241245E-04       21
        1       25     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630764E-01  1.420241245E-04       21
        2       25     11.20000  8.289062740E-01  2.020950582E-01  1.073563723E+02 -1.478358245E+00 -3.140551209E-01  1.420241245E-04       21
        1       26     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630763E-01  1.420241245E-04       21
        2       26     11.20000  8.290127883E-01  2.021365710E-01  1.073563723E+02 -1.478358245E+00 -3.140541676E-01  1.420241245E-04       21
        1       27     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630763E-01  1.420241245E-04       21
        2       27     11.20000  8.292428481E-01  2.021239320E-01  1.073563723E+02 -1.478358245E+00 -3.140543160E-01  1.420241245E-04       21
        1       28     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630763E-01  1.420241245E-04       21
        2       28     11.20000  8.288737304E-01  2.020968461E-01  1.073563723E+02 -1.478358245E+00 -3.140540379E-01  1.420241245E-04       21
        1       29     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630763E-01  1.420241245E-04       21
        2       29     11.20000  8.290650025E-01  2.021404025E-01  1.073563723E+02 -1.478358245E+00 -3.140531449E-01  1.420241245E-04       21
        1       30     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630762E-01  1.420241245E-04       21
        2       30     11.20000  8.292157914E-01  2.021177707E-01  1.073563723E+02 -1.478358245E+00 -3.140533803E-01  1.420241245E-04       21
        1       31     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630762E-01  1.420241245E-04       21
        2       31     11.20000  8.288524003E-01  2.021000475E-01  1.073563723E+02 -1.478358245E+00 -3.140529426E-01  1.420241245E-04       21
        1       32     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630762E-01  1.420241245E-04       21
        2       32     11.20000  8.291164067E-01  2.021429095E-01  1.073563723E+02 -1.478358245E+00 -3.140521449E-01  1.420241245E-04       21
        1       33     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630762E-01  1.420241245E-04       21
        2       33     11.20000  8.291784459E-01  2.021117075E-01  1.073563723E+02 -1.478358245E+00 -3.140524312E-01  1.420241245E-04       21
        1       34     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630761E-01  1.420241245E-04       21
        2       34     11.20000  8.288436244E-01  2.021044612E-01  1.073563723E+02 -1.478358245E+00 -3.140518401E-01  1.420241245E-04       21
        1       35     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630761E-01  1.420241245E-04       21
        2       35     11.20000  8.291637695E-01  2.021439346E-01  1.073563723E+02 -1.478358245E+00 -3.140511665E-01  1.420241245E-04       21
        1       36     11.20000  8.292492967E-01  2.021259511E-01  1.073563723E+02 -1.478358245E+00 -3.140630761E-01  1.420241245E-04       21
